nombre_entidad,nit_entidad,anno_paa,ppto_total,limite_menor_cuantia,limite_minima_cuantia,fecha_cargue,departamento_paa,municipio_paa
ANTIOQUIA  INSTITUCIN EDUCATIVA DBORA ARANGO PREZ  MEDELLIN,900196642,2022,84026639.0,0.0,20000000.0,2022-01-26,Antioquia,Medellín
PUTUMAYO  CENTRO EDUCATIVO RURAL SAUDITA  PUERTO GUZMAN,846004233-5,2021,107700000.0,254387280.0,25438728.0,2021-01-28,Putumayo,Puerto Guzmán
META  CENTRO EDUCATIVO RURAL JOSE MARIA GUIOTH  CUMARAL,900134298-9,2022,22500000.0,280000000.0,28000000.0,2022-01-28,Meta,Cumaral
QUINDO  INSTITUCIN EDUCATIVA EL CAIMO ARMENIA,801004646-6,2022,70139000.0,280000000.0,28000000.0,2022-01-29,Quindío,Armenia
META  INSTITUCIN EDUCATIVA JOS EUSTASIO RIVERA  CUBARRAL,892000680-7,2021,80955596.0,254387280.0,25438728.0,2021-01-31,Meta,Cubarral
SUCRE  INSTITUCIN EDUCATIVA SAN ROQUE  GALERAS,823001022-7,2022,0.0,0.0,0.0,2022-02-05,Sucre,Galeras
CAUCA  ALCALDA MUNICIPIO DE SUCRE,No Definido-6,2023,6516984356.0,324800000.0,32480000.0,2023-01-31,Cauca,Sucre
  CAUCA  CONCEJO MUNICIPIO DE PUE]RTO TEJADA  ,891500580-9,2022,506852090.0,280000000.0,28000000.0,2022-10-28,Cauca,Puerto Tejada
CUNDINAMARCA  INSTITUCIN EDUCATIVA DEPARTAMENTAL INTEGRADO SAN CAYETANO  SAN >CAYETANO,800002733-3,2023,56598000.0,23200000.0,23200000.0,2023-03-21,Cundinamarca,San Cayetano
PUTUMAYO  INSTITUCION EDUCATIVA SUCRE  COLON,800213629,2022,107408000.0,107408000.0,20000000.0,2022-01-26,Putumayo,Colón
MAGDALENA  PERSONERA MUNICIPIO DE FUNDACIN,819000486,2021,7400000.0,254387280.0,25438728.0,2021-01-29,Magdalena,Fundación
CALDAS  PERSONERA MUNICIPIO DE ARANZAZU,890801142-4,2022,10700000.0,280000000.0,28000000.0,2022-07-15,Caldas,Aranzazu
  CAUCA  ALCALDA MUNICIPIO DE TOTORO/  ,800012635-0,2021,8444140370614.0,25438728.0,254387280.0,2021-12-31,Cauca,Totoró
LA GUAJIRA  INSTITUTO DE TRANSITO Y TRANSPORTE DEL MUNICIPIO DE ALBANIA,900221828-5,2022,195074000.0,280000000.0,28000000.0,2022-01-30,La Guajira,Albania
ANTIOQUIA  ALCALDA MUNICIPIO DE TMESIS,800102801-3-4,2023,3358136638.0,324800000.0,32480000.0,2023-06-30,Antioquia,Támesis
TOLIMA  INSTITUCIN/ EDUCATIVA DINDALITO CENTRO  ESPINAL,809001546-9,2022,85786000.0,254387280.0,25438728.0,2022-01-30,Tolima,El Espinal
  TOLIMA  INSTITUCIN EDUCATIVA CAMPOALEGRE EUCLIDES BARRAGAN DE LA VEREDA CAMPOALEGRE  LBANO  ,809005849-4,2021,46897892.0,254387280.0,25438728.0,2021-10-02,Tolima,El Líbano
SUCRE  INSTITUCIN EDUCATI<VA TCNICA AGROPECUARIA SAN ONOFRE DE TOROBE,823000543,2021,139100000.0,254387280.0,25438728.0,2021-01-29,Sucre,San Onofre
BOYAC  INSTITUCIN EDUCATIVA SERAFIN LUENGAS CHACON  MONIQUIR,900065876-0,2021,44000000.0,1817052.0,18170520.0,2021-11-25,Boyacá,Moniquirá
ANTIOQUIA  ALCALDA MUNICIPIO DE SAN VICENTE,No Definido-9,2022,1132628806400.0,280000000.0,28000000.0,2022-12-20,Antioquia,San Vicente
META  ALCALDA MUNICIPIO DE FUENTE DE ORO,892099183-2,2023,161927686946.0,324800000.0,32480000.0,2023-08-03,Meta,Fuente de Oro
BOYAC  ALCALDA MUNICIPIO DE SAMAC,800016757-1,2021,1792211129050.0,254387280.0,25438728.0,2021-01-20,Boyacá,Samacá
BOLVAR  ALCALDA MUNICIPIO DE CALAMAR,890481362-7,2021,5438962816.0,254387280.0,25438728.0,2022-01-31,Bolívar,Calamar
CASANARE  CONCEJO MUNICIPIO DE PAZ DE ARIPORO,900219184-3-5,2022,53422692.0,280000000.0,28000000.0,2022-01-03,Casanare,Paz de Ariporo
CUNDINAMARCA  INSTITUCIN EDUCATIVA RAFAEL POMBO  SOP,832004299-9,2022,134899555.0,280000000.0,20000000.0,2022-04-29,Cundinamarca,Sopó
BOYAC  HOSPITAL SAN ANTONIO DE SOAT,891800611-5,2022,14123228939524.0,250000000.0,250000000.0,2022-01-31,Boyacá,Sogamoso
CASANARE  ALCALDA MUNICIPIO DE SAN LUIS DE PALENQUE,891802151-9,2021,10666901502600.0,254387280.0,25438728.0,2021-01-29,Casanare,San Luis de Palenque
CUNDINAMARCA  ALCALDA MUNICIPIO DE CACHIPAY,890981567-1-8,2021,0.0,251384280.0,24438728.0,2021-12-21,Cundinamarca,Cachipay
MAGDALENA  ALCALDA MUNICIPIO DE PUEBLO VIEJO,891480031-1-7,2021,3946220000.0,254387280.0,25438728.0,2021-01-31,Magdalena,Puebloviejo
TOLIMA  ALCALDA MUNICIPIO DE VILLARRICA,800100147,2022,6106281950.0,280000000.0,28000000.0,2023-05-31,Tolima,Villarrica
VALLE DEL CAUCA   ESE HOSPITAL PILOTO JAMUNDI,890306950-2,2021,17943364540.0,726820800.0,45426300.0,2021-08-04,Valle del Cauca,Jamundi
CAQUET  ALCALDA MUNICIPIO DE SAN VICENTE CAGUN,890982506-7-5,2022,53774782403.0,280000000.0,28000000.0,2022-12-29,Caquetá,San Vicente del Caguán
SANTANDER  ALCALDA MUNICIPIO DE ONZAGA,800099113-1,2023,614809333065.0,324800000.0,32480000.0,2023-01-27,Santander,Onzaga
SUCRE  AGUAS DE SUCRE SA ESP,900258919,2022,2788000000.0,1000000000.0,100000000.0,2022-12-30,Sucre,Sincelejo
TOLIMA  INSTITUCIN EDUCATIVA TCNICA GENERAL ROBERTO LEYVA  SALDAÑA,890706749-2,2022,144580029.0,280000000.0,28000000.0,2022-01-29,Tolima,Saldaña
GUAVIARE  INSTITUCIN EDUCATIVA LAS DAMAS  CALAMAR,822005538-1,2023,94000000.0,324800000.0,32480000.0,2023-01-31,Guaviare,Calamar
TOLIMA  INSTITUCIN EDUCATIVA TCNICA BOLVAR  SANTA ISABEL,890702057-8,2022,45280675.0,280000000.0,28000000.0,2022-01-29,Tolima,Santa Isabel
NORTE DE SANTANDER  CONCEJO MUNICIPIO DE DURANIA,807006015,2021,136906330.0,254438728.0,25438728.0,2021-01-27,Norte De Santander,Durania
NARIÑO  CENTRO EDUCATIVO MUNICIPAL JAMONDINO  PASTO,814001331,2021,64732273.0,245784840.0,24578484.0,2021-12-21,Nariño,Pasto
TOLIMA  CONCEJO MUNICIPIO DE PLANADAS,809008399,2023,229820000.0,324800000.0,32480000.0,2023-01-29,Tolima,Planadas
  SANTANDER  ALCALDA MUNICIPIO DE CURITI  ,800099489,2020,0.0,231872480.0,24578829.0,2020-12-10,Santander,Curití
SANTANDER  CONCEJO MUNICIPIO DE CERRITO,890209889-9-1,2021,22200000.0,254387280.0,25438728.0,2021-01-29,Santander,Cerrito
CALDAS  INSTITUCION EDUCATIVA NUESTRA SEÑORA DE FATIMA  RIOSUCIO,810005244-5,2022,31190000.0,280000000.0,28000000.0,2022-01-31,Caldas,Riosucio
CUNDINAMARCA  INSTITUCIN EDUCATIVA DEPARTAMENTAL AGROINDUSTRIAL SANTIAGO DE CHOCONT,832009376,2021,287205404.0,263472540.0,25438728.0,2021-11-10,Cundinamarca,Chocontá
"BOLVAR  ALCALDA MUNICIPIO DE SANTA ROSA DE""L SUR",800049017,2021,163354604228.0,254387280.0,25438728.0,2021-08-13,Bolívar,Santa Rosa del Sur
CESAR  CONCEJO MUNICIPIO DE LA JAGUA DE IBIRICO,824002355,2022,168300000.0,280000000.0,28000000.0,2022-12-23,Cesar,La Jagua de Ibirico
  VALLE DEL CAUCA  IE LA A<NUNCIACION  BUENAVENTURA  ,890307051-1,2022,128865402.0,28000000.0,20000000.0,2022-01-26,Valle del Cauca,Buenaventura
BOLIVAR  PERSONERIA MUNICIPAL DE ARJONA,806005403-9,2021,12505702.0,138253973.0,138253973.0,2021-03-30,Bolívar,Arjona
CESAR  AGUAS DEL CESAR SA ESP,900149163-7,2021,1818438450933.0,254387280.0,25438728.0,2021-02-01,Cesar,Valledupar
CUNDINAMARCA  INSTITUTO MUNICIPAL DE DEPORTES RECREACIN CULTURA Y TURISMO IMDERCULTUR  EL ROSAL,832003469-4,2022,2065475166.0,280000000.0,28000000.0,2023-01-26,Cundinamarca,El Rosal
  TOLIMA  ALCALDA MUNICIP.IO DE PLANADAS  ,800100137-5,2021,133729001155.0,254387280.0,25438728.0,2021-12-23,Tolima,Planadas
ATLNTICO  CENTRO DE EDUCACIN BSICA N103  BARRANQUILLA,802006867-8,2022,38850000.0,0.0,20000000.0,2022-02-09,Atlántico,Barranquilla
TOLIMA  INSTITUCIN EDUCATIVA TCNICA JIMENEZ DE QUESADA  ARMERO GUAYABAL,800028049,2023,81478665.0,280000000.0,28000000.0,2023-01-23,Tolima,Armero
CUNDINAMARCA  INSTITUCIN EDUCATIVA DEPARTAMENTAL SAN PEDRO  CAPARRAP,900291840-2,2023,38825248.0,254387280.0,18170520.0,2023-01-02,Cundinamarca,Caparrapí
CESARINSTITUCION EDUCATIVA ALFONSO LOPEZ PUMAREJOVALLEDUPAR,892300448-3,2022,38883000.0,20000000.0,20000000.0,2022-02-16,Cesar,Valledupar
NARIÑO  INSTITUCIN EDUCATIVA SAN FRANCISCO DE ASS  ANCUY,814004251-1,2022,95200000.0,850000000.0,85000000.0,2022-01-27,Nariño,Ancuyá
  SUCRE  CENTRO EDUCATIVO BOCA DE LAS MUJERES  MAJAGUAL  ,900032800-4,2022,10375000.0,280000000.0,28000000.0,2022-04-10,Sucre,Majagual
ANTIOQUIA  ALCALDA MUNICIPIO DE FREDONIA,890980848-4,2022,10496807458.0,280000000.0,28000000.0,2022-01-31,Antioquia,Fredonia
RISARALDA  INSTITUCIN EDUCATIVA GUILLERMO HOYOS SALAZAR  PEREIRA,816007166-7,2022,16921372.0,20000000.0,28000000.0,2022-01-28,Risaralda,Pereira
SUCRE  INSTITUCIN EDUCATIVA SAN JUAN BOSCO  SAN PEDRO,823000722-0,2021,82500000.0,218747760.0,21874776.0,2021-02-11,Sucre,San Pedro
ANTIOQUIA  ALCALDA MUNICIPIO DE VIGA DEL FUERTE,800020665-6,2023,0.0,0.0,0.0,2023-02-20,Antioquia,Vigía del Fuerte
CALDAS  INSTITUCIN EDUCATIVA LA LIBERTAD  SAN J:OS,810005256,2022,55900000.0,280000000.0,20000000.0,2022-09-28,Caldas,San José
BOYAC  PERSONERA MUNICIPIO DE TPAGA,891856625-1-5,2021,5350000.0,254387280.0,25438728.0,2021-01-30,Boyacá,Tópaga
  TOLIMA  PERSONE]RIA MUNICIPAL DE LIBANO  ,809000778,2023,91260000.0,324800000.0,32480000.0,2023-08-29,Tolima,El Líbano
ATLNTICO  COLEGIO DISTRITAL ISAAC NETON  BARRAN|QUILLA,802023868,2021,73643132.0,254387280.0,25438728.0,2021-01-29,Atlántico,Barranquilla
CUNDINAMARCA  CONCEJO MUNICIPIO DE MADRID,832003549,2022,174697123000.0,28000000000.0,2800000000.0,2022-12-07,Cundinamarca,Madrid
CAQUET  ALCALDA MUNICIPIO DE EL DONCELLO,800095760-8,2022,2885573166300.0,28000000000.0,2800000000.0,2023-01-05,Caquetá,El Doncello
BOGOT DC  IED CAMPESTRE MONTE VERDE,No Definido,2021,214398000.0,254387280.0,25438728.0,2021-01-25,Bogotá D.C.,Bogotá D.C.
VALLE DEL CAUCA  ALCALDA MUNICIPIO DE SAN PEDRO,800100526-3-7,2021,5719494771.0,254387280.0,25438728.0,2021-01-29,Valle del Cauca,San Pedro
  ANTIOQUIA  PERSONERA MUNICIPIO DE LA ESTRELLA  ,890980782-4,2022,702350000.0,280000000.0,28000000.0,2022-01-31,Antioquia,La Estrella
VALLE DEL CAUCA  INSTITUCIN EDUCATIVA LUIS FERNANDO CAICEDO  CALI,805009658,2021,49152025.0,16562320.0,2121.0,2021-02-01,Valle del Cauca,Cali
NARIÑO  CONCEJO MUNICIPAL DE MAGUI PAYN,840000358-2,2023,36600000.0,324800000.0,32480000.0,2023-01-30,Nariño,Magüi
  BOYAC  INSTITUCION EDUCATIVA JULIUS SIEBER  TUNJA  ,820001994,2022,139255955.0,280000000.0,28000000.0,2022-02-01,Boyacá,Tunja
CAUCA  RESGUARDO INDGENA TOTOR,817002414-4,2020,148559517454.0,245784840.0,24578484.0,2020-12-23,Cauca,Totoró
MAGDALENA  PERSONERA MUNICIPIO DE PUEBLO VIEJO,819007206-0,2021,16900000.0,254387280.0,25438728.0,2021-02-15,Magdalena,Puebloviejo
META  ASOCIACIN DE MUNICIPIOS AGROPARQUES,900056772,2021,1735838251.0,737717000.0,73771701.0,2021-05-18,Meta,Villavicencio
CUNDINAMARCA  ALCALDA MUNICIPIO DE FQUENE,899999323-2,2023,529953845451.0,324800000.0,32480000.0,2023-07-31,Cundinamarca,Fúquene
BOYAC  AGUAS DE ARCABUCO SA ESP  ARCABUCO,900263342-1,2021,144464000.0,45426300.0,27247680.0,2021-02-01,Boyacá,Arcabuco
CUNDINAMARCA  INSTITUCIN EDUCATIVA RURAL DEPARTAMENTAL ERNESTO APARICIO JARAMILLO  LA MESA,808002143-7,2021,88381116.0,17550000.0,0.0,2021-05-05,Cundinamarca,La Mesa
ATLNTICO  ALCALDA MUNICIPIO DE USIACURI,800094378-2,2023,3203560696476.0,324800000.0,32480000.0,2023-01-31,Atlántico,Usiacurí
BOYAC  ALCALDA MUNICIPIO DE SAN PABLO BORBUR,891801369,2022,0.0,0.0,0.0,2022-01-31,Boyacá,San Pablo de Borbur
BOLVAR  INSTITUCIN EDUCATIVA AMBIENTALISTA DE CARTAGENA,900007622-6,2022,17088331400.0,28000000000.0,2800000000.0,2022-01-30,Bolívar,Cartagena
VALLE DEL CAUCA  ALCALDA LOCAL CONTINENTE EL PAILN,901070157,2021,3154150499.0,254387280.0,25438728.0,2021-01-31,Valle del Cauca,Buenaventura
HUILA  INSTITUTO DE TRNSITO Y TRANSPORTE DE PITALITO INTRAPITALITO,900522279,2021,0.0,254387280.0,25438728.0,2021-08-12,Huila,Pitalito
CUNDINAMARCA  INSTITUCIN EDUCATIVA MUNICIPAL GUILLERMO QUEVEDO ZORNOZA,832002561-6,2021,11493977764.0,0.0,0.0,2021-01-28,Cundinamarca,Zipaquirá
SANTANDER  CAJA DE PREVISIN SOCIAL MUNICIPAL DE BUCARAMANGA,890204851-1,2021,216653712.0,254387280.0,25438728.0,2021-01-25,Santander,Bucaramanga
ANTIOQUIA  INSTITUCIN EDUCATIVA JOS HORACIO BETANCUR  MEDELLN,811022317,2021,122822217.0,245784840.0,24578484.0,2021-09-01,Antioquia,Medellín
CUNDINAMARCA  PERSONERA MUNICIPAL DE SOACHA,832003216-0,2021,208645800.0,254387280.0,25438728.0,2021-12-30,Cundinamarca,Soacha
NARIÑO  ALCALDA MUNICIPIO DE LEIVA,800019111-4,2022,14025800749.0,25438728.0,25438728.0,2022-01-31,Nariño,Leiva
NARIÑO  INSTITUCION EDUCATIVA AGROPECUARIA LA VEGA  SAN BERNARDO,814001614-4,2022,88007117.0,850000000.0,85000000.0,2022-01-24,Nariño,San Bernardo
